"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","random_id","participant","rt","stimulus","response","question_order","correct_key","correct","object_num","angle","correct_response","correct_response_key"
"true","false","[]","[]","[]","preload","0","2.0.0","4169","pjhwj6m4ht3","bear","","","","","","","","","",""
"true","","","","","fullscreen","1","null","18330","pjhwj6m4ht3","bear","13159","","","","","","","","",""
"","","","","","html-keyboard-response","2","2.0.0","19235","pjhwj6m4ht3","bear","904","Welcome to the experiment. Press any key to begin."," ","","","","","","",""
"","","","","","survey-text","3","2.0.0","21498","pjhwj6m4ht3","bear","2260","","{""participant_id"":""bear""}","","","","","","",""
"","","","","","html-keyboard-response","4","2.0.0","317534","pjhwj6m4ht3","bear","294535","
      <p>On each trial, you will see two 3D objects. The object on the left will be your <strong>baseline object</strong>. The object on the right will be the <strong>target object</strong>.</p>
      <p>These objects may be at different orientations from each other.</p> 
      <p>If the two objects are the same, press <strong>F</strong>.</p>
      <p>If the two objects are different, press <strong>J</strong>.</p>
      <p>Please respond as quickly and accurately as possible.</p>
      <p>Press any key to continue.</p>
    "," ","","","","","","",""
"","","","","","survey-multi-choice","5","null","348956","pjhwj6m4ht3","bear","31414","","{""same_definition"":""The two objects are physically identical."",""different_definition"":""The two objects are physically distinct objects."",""same_key"":""F key"",""different_key"":""J key"",""speed_accuracy"":""Respond as quickly and accurately as possible.""}","[0,1,2,3,4]","","","","","",""
"","","","","","html-keyboard-response","6","2.0.0","350199","pjhwj6m4ht3","bear","1238","<p><font color='green'>All correct! Press any key to continue.</font></p>"," ","","","","","","",""
"","","","","","html-keyboard-response","8","2.0.0","354420","pjhwj6m4ht3","bear","4219","There will be 8 practice trials before the real experiment. Press any key to begin."," ","","","","","","",""
"","","","","","html-keyboard-response","9","2.0.0","356865","pjhwj6m4ht3","bear","2444","<img src=""stimuli/1_150.jpg"">","f","","f","true","","","",""
"","","","","","html-keyboard-response","10","2.0.0","357869","pjhwj6m4ht3","bear","null","<p style=""font-size: 50px; color: green;"">Correct!</p>","null","","","","","","",""
"","","","","","html-keyboard-response","11","2.0.0","361297","pjhwj6m4ht3","bear","3174","<img src=""stimuli/2_0.jpg"">","f","","f","true","","","",""
"","","","","","html-keyboard-response","12","2.0.0","362300","pjhwj6m4ht3","bear","null","<p style=""font-size: 50px; color: green;"">Correct!</p>","null","","","","","","",""
"","","","","","html-keyboard-response","13","2.0.0","368331","pjhwj6m4ht3","bear","5778","<img src=""stimuli/1_100_R.jpg"">","j","","j","true","","","",""
"","","","","","html-keyboard-response","14","2.0.0","369335","pjhwj6m4ht3","bear","null","<p style=""font-size: 50px; color: green;"">Correct!</p>","null","","","","","","",""
"","","","","","html-keyboard-response","15","2.0.0","371723","pjhwj6m4ht3","bear","2136","<img src=""stimuli/1_50.jpg"">","f","","f","true","","","",""
"","","","","","html-keyboard-response","16","2.0.0","372726","pjhwj6m4ht3","bear","null","<p style=""font-size: 50px; color: green;"">Correct!</p>","null","","","","","","",""
"","","","","","html-keyboard-response","17","2.0.0","377821","pjhwj6m4ht3","bear","4841","<img src=""stimuli/2_100.jpg"">","f","","f","true","","","",""
"","","","","","html-keyboard-response","18","2.0.0","378824","pjhwj6m4ht3","bear","null","<p style=""font-size: 50px; color: green;"">Correct!</p>","null","","","","","","",""
"","","","","","html-keyboard-response","19","2.0.0","383748","pjhwj6m4ht3","bear","4672","<img src=""stimuli/2_50_R.jpg"">","j","","j","true","","","",""
"","","","","","html-keyboard-response","20","2.0.0","384751","pjhwj6m4ht3","bear","null","<p style=""font-size: 50px; color: green;"">Correct!</p>","null","","","","","","",""
"","","","","","html-keyboard-response","21","2.0.0","389472","pjhwj6m4ht3","bear","4468","<img src=""stimuli/1_0_R.jpg"">","j","","j","true","","","",""
"","","","","","html-keyboard-response","22","2.0.0","390474","pjhwj6m4ht3","bear","null","<p style=""font-size: 50px; color: green;"">Correct!</p>","null","","","","","","",""
"","","","","","html-keyboard-response","23","2.0.0","400262","pjhwj6m4ht3","bear","9534","<img src=""stimuli/2_150_R.jpg"">","j","","j","true","","","",""
"","","","","","html-keyboard-response","24","2.0.0","401264","pjhwj6m4ht3","bear","null","<p style=""font-size: 50px; color: green;"">Correct!</p>","null","","","","","","",""
"","","","","","html-keyboard-response","25","2.0.0","405897","pjhwj6m4ht3","bear","4381","We will now begin the real experiment. Unlike the practice, feedback will only appear for incorrect answers, and trials will time out if you take too long. Press any key to begin."," ","","","","","","",""
"","","","","","image-keyboard-response","26","2.0.0","409697","pjhwj6m4ht3","bear","3794","stimuli/13_100.jpg","f","","","true","13","100","same","f"
"","","","","","image-keyboard-response","28","2.0.0","414069","pjhwj6m4ht3","bear","3890","stimuli/7_100_R.jpg","j","","","true","7","100","different","j"
"","","","","","image-keyboard-response","30","2.0.0","419847","pjhwj6m4ht3","bear","5297","stimuli/4_50.jpg","f","","","true","4","50","same","f"
"","","","","","image-keyboard-response","32","2.0.0","422757","pjhwj6m4ht3","bear","2429","stimuli/14_100_R.jpg","j","","","true","14","100","different","j"
"","","","","","image-keyboard-response","34","2.0.0","426592","pjhwj6m4ht3","bear","3355","stimuli/48_0_R.jpg","j","","","true","48","0","different","j"
"","","","","","image-keyboard-response","36","2.0.0","430638","pjhwj6m4ht3","bear","3565","stimuli/43_100.jpg","f","","","true","43","100","same","f"
"","","","","","image-keyboard-response","38","2.0.0","433981","pjhwj6m4ht3","bear","2862","stimuli/48_150_R.jpg","j","","","true","48","150","different","j"
"","","","","","image-keyboard-response","40","2.0.0","438456","pjhwj6m4ht3","bear","3996","stimuli/28_50_R.jpg","j","","","true","28","50","different","j"
"","","","","","image-keyboard-response","42","2.0.0","442442","pjhwj6m4ht3","bear","3506","stimuli/8_150.jpg","f","","","true","8","150","same","f"
"","","","","","image-keyboard-response","44","2.0.0","447529","pjhwj6m4ht3","bear","4607","stimuli/15_100.jpg","f","","","true","15","100","same","f"
"","","","","","image-keyboard-response","46","2.0.0","450277","pjhwj6m4ht3","bear","2266","stimuli/8_100_R.jpg","j","","","true","8","100","different","j"
"","","","","","image-keyboard-response","48","2.0.0","458257","pjhwj6m4ht3","bear","null","stimuli/26_150.jpg","null","","","false","26","150","same","f"
"","","","","","html-keyboard-response","49","2.0.0","459738","pjhwj6m4ht3","bear","null","<p style=""font-size: 50px; color: red;"">Incorrect</p>","null","","","","","","",""
"","","","","","image-keyboard-response","50","2.0.0","463327","pjhwj6m4ht3","bear","3587","stimuli/18_0_R.jpg","j","","","true","18","0","different","j"
"","","","","","image-keyboard-response","52","2.0.0","465334","pjhwj6m4ht3","bear","1527","stimuli/14_0.jpg","f","","","true","14","0","same","f"
"","","","","","image-keyboard-response","54","2.0.0","467554","pjhwj6m4ht3","bear","1740","stimuli/3_0.jpg","f","","","true","3","0","same","f"
"","","","","","image-keyboard-response","56","2.0.0","469505","pjhwj6m4ht3","bear","1470","stimuli/24_0.jpg","f","","","true","24","0","same","f"
"","","","","","image-keyboard-response","58","2.0.0","472902","pjhwj6m4ht3","bear","2917","stimuli/27_0_R.jpg","j","","","true","27","0","different","j"
"","","","","","image-keyboard-response","60","2.0.0","476531","pjhwj6m4ht3","bear","3149","stimuli/25_50_R.jpg","j","","","true","25","50","different","j"
"","","","","","image-keyboard-response","62","2.0.0","479783","pjhwj6m4ht3","bear","2772","stimuli/22_150_R.jpg","j","","","true","22","150","different","j"
"","","","","","image-keyboard-response","64","2.0.0","481346","pjhwj6m4ht3","bear","1084","stimuli/30_0.jpg","f","","","true","30","0","same","f"
"","","","","","image-keyboard-response","66","2.0.0","486970","pjhwj6m4ht3","bear","5143","stimuli/32_100_R.jpg","f","","","false","32","100","different","j"
"","","","","","html-keyboard-response","67","2.0.0","488451","pjhwj6m4ht3","bear","null","<p style=""font-size: 50px; color: red;"">Incorrect</p>","null","","","","","","",""
"","","","","","image-keyboard-response","68","2.0.0","492270","pjhwj6m4ht3","bear","3817","stimuli/34_50.jpg","f","","","true","34","50","same","f"
"","","","","","image-keyboard-response","70","2.0.0","495066","pjhwj6m4ht3","bear","2316","stimuli/47_0_R.jpg","j","","","true","47","0","different","j"
"","","","","","image-keyboard-response","72","2.0.0","497527","pjhwj6m4ht3","bear","1980","stimuli/10_0.jpg","f","","","true","10","0","same","f"
